gordon_subcortical
4
8
9
4
12
4
6
12
6
1
14
3
7
7
12
12
12
14
14
12
2
2
11
6
4
4
2
2
10
8
8
8
8
2
8
8
8
8
9
2
5
5
5
4
8
8
8
8
5
8
5
5
9
8
5
8
8
8
9
11
11
11
2
1
1
1
1
1
1
1
2
2
14
5
11
2
1
6
11
11
2
2
10
2
11
11
5
5
3
12
5
5
3
4
5
6
12
12
12
5
2
1
2
1
2
5
5
6
6
5
2
2
5
4
14
4
4
14
14
14
14
14
14
14
14
4
4
14
14
7
12
12
14
14
14
12
12
12
12
12
12
14
7
14
4
4
2
6
6
4
4
4
2
4
5
4
4
11
14
1
11
4
8
9
4
12
6
6
12
6
1
14
3
7
12
12
12
14
14
2
2
6
10
4
2
4
2
2
5
8
8
2
8
8
8
2
9
2
5
4
8
8
5
8
8
8
8
5
8
8
5
9
8
8
8
8
8
9
2
4
11
11
2
1
4
11
1
11
11
1
11
1
1
2
2
5
11
2
1
6
11
11
11
1
2
2
10
2
2
5
12
5
5
3
12
12
4
12
4
6
6
5
12
12
12
5
12
1
1
8
5
6
6
2
5
6
6
4
4
14
14
14
14
14
14
14
14
14
14
4
14
14
12
7
7
14
14
12
12
14
14
14
14
14
14
14
12
12
12
12
12
14
7
14
4
4
2
2
6
6
4
4
4
4
4
4
6
6
1
1
4
11
11
13
13
13
13
13
13
13
13
13
13
13
13
13
13
13
13
13
13
13
